nome,idade,cpf,endereco,estado,data
Nathan Da Rosa,31,907.231.564-25,"RECANTO DE DA CONCEIÇÃO, 1
PARAÍSO
52583-232 SALES / AM",CEARÁ,1992-11-05
Lívia Silveira,61,804.125.796-85,"SETOR DE AZEVEDO, 375
CASTANHEIRA
56381800 TEIXEIRA DAS PEDRAS / AL",MATO GROSSO DO SUL,1962-11-22
Isabel Cavalcanti,54,492.768.130-04,"LADEIRA PIETRA CUNHA, 13
VISTA ALEGRE
86652477 MONTEIRO / PA",PARÁ,1969-05-10
Rafael Nunes,38,285.917.604-76,"VEREDA DAVI LUCCA BARBOSA, 35
ESTRELA DO ORIENTE
38759-767 RODRIGUES DE GOIÁS / GO",GOIÁS,1985-08-28
Elisa Fogaça,95,572.840.693-92,"RODOVIA ANA JÚLIA ARAÚJO, 68
VILA REAL 2ª SEÇÃO
22775-108 DA MATA DOS DOURADOS / PE",MARANHÃO,1928-12-13
Agatha Ramos,23,948.061.752-85,"DISTRITO DE BARROS, 41
SUZANA
54500-129 DA ROCHA / RJ",RORAIMA,2000-12-03
Kamilly Rocha,59,946.031.875-48,"FEIRA CAMPOS, 17
CRUZEIRO
01967-483 RIBEIRO DE PIRES / DF",CEARÁ,1964-09-19
Antônio Das Neves,40,435.698.712-82,"AVENIDA VITOR HUGO CARDOSO, 34
VILA SÃO RAFAEL
96831280 DA CUNHA / SC",RIO GRANDE DO SUL,1983-07-31
Luiz Gustavo Alves,45,198.506.473-10,"RODOVIA DE SOUZA, 63
VILA NOVA DOS MILIONARIOS
81275-813 ROCHA / MS",RIO GRANDE DO SUL,1978-07-08
Emanuella Fernandes,87,097.184.263-96,"RESIDENCIAL IAN DA PAZ, 6
PADRE EUSTÁQUIO
41928916 FERNANDES DE CORREIA / PR",RONDÔNIA,1936-07-21
Srta. Ana Beatriz Farias,62,431.975.068-39,"LADEIRA DE DA PAZ, 98
JARDIM DOS COMERCIARIOS
48285699 RIBEIRO / PE",ACRE,1961-08-07
Yago Monteiro,44,865.279.143-00,"LADEIRA PEREIRA, 21
BURACO QUENTE
50425764 FOGAÇA VERDE / BA",MARANHÃO,1979-06-22
Yasmin Gonçalves,76,017.459.382-14,"ÁREA BARROS, 46
SALGADO FILHO
98637-706 ALVES DE GOIÁS / BA",PARANÁ,1947-09-26
Bruna Nascimento,34,132.695.407-52,"VEREDA LUIZ FELIPE COSTA, 70
MINASLANDIA
23088133 MORAES / DF",RORAIMA,1989-04-13
Davi Luiz Nogueira,97,873.045.912-50,"VILA SALES, 97
PAQUETÁ
59231544 DA LUZ GRANDE / ES",PERNAMBUCO,1926-12-20
Ian Monteiro,24,324.157.968-91,"FAVELA ALANA RIBEIRO, 318
CASA BRANCA
79179-607 BARROS DA PRAIA / MS",CEARÁ,1999-12-11
Srta. Helena Silva,35,905.164.728-01,"PARQUE FREITAS, 82
OURO MINAS
59029142 LIMA DA PRATA / AC",TOCANTINS,1988-11-14
Bárbara Novaes,88,038.496.512-15,"TRECHO BRYAN DA CUNHA, 1
BETÂNIA
61163162 CORREIA VERDE / PA",AMAZONAS,1935-05-24
Sr. Pedro Lucas Costela,30,534.870.296-00,"ESPLANADA MOREIRA
PINDURA SAIA
93675777 DA CUNHA DA MATA / ES",MINAS GERAIS,1993-08-24
Rafael Jesus,22,673.105.482-80,"CAMPO DE BARROS, 16
SILVEIRA
43534-126 DUARTE DO GALHO / DF",CEARÁ,2001-08-16
Sra. Alícia Caldeira,89,051.382.694-70,"DISTRITO ESTHER CAMPOS, 264
APOLONIA
13908-226 SOUZA / PA",TOCANTINS,1934-12-04
Danilo Martins,99,760.389.541-39,"LARGO PIRES, 78
BACURAU
13125523 SALES VERDE / AP",PIAUÍ,1925-03-30
Sr. Gabriel Da Rosa,49,530.641.782-53,"CAMPO ISABELLY FREITAS
NOVO SANTA CECILIA
94562211 DA MATA / CE",ACRE,1974-09-10
Augusto Teixeira,69,412.563.970-16,"FAVELA MARIA NOVAES
SAVASSI
60241424 DA COSTA DAS FLORES / RR",RIO GRANDE DO SUL,1954-11-15
Ana Julia Da Rosa,42,630.549.782-65,"TREVO MORAES, 5
CÔNEGO PINHEIRO 1ª SEÇÃO
38769-503 RAMOS DE ROCHA / SP",RIO GRANDE DO SUL,1981-10-10
Lucca Barbosa,97,836.109.275-77,"RUA MENDES, 337
PENHA
06179-472 SALES DO SUL / SP",MINAS GERAIS,1926-06-12
Amanda Da Costa,23,268.935.074-29,"LAGOA CARDOSO, 1
AMBROSINA
61793-758 DA ROCHA / SP",MATO GROSSO,2000-11-20
Dr. Francisco Cardoso,96,430.297.815-50,"LAGO MAITÊ CAMPOS, 31
BRAÚNAS
72279-259 COSTA DO SUL / TO",PARANÁ,1927-10-30
Lorena Farias,92,268.517.934-82,"RESIDENCIAL BARBOSA, 44
ZILAH SPOSITO
26601655 ARAGÃO DE GOIÁS / AP",RIO GRANDE DO SUL,1931-04-17
Anthony Da Costa,36,935.287.104-97,"RECANTO DE ROCHA, 68
CONJUNTO CALIFÓRNIA I
12467-132 JESUS DO NORTE / SE",SANTA CATARINA,1988-02-13
Cauã Rodrigues,98,107.286.439-87,"VALE GUSTAVO HENRIQUE ALVES, 50
VILA MADRE GERTRUDES 4ª SEÇÃO
75200-837 CORREIA GRANDE / AL",MATO GROSSO DO SUL,1926-02-11
Anthony Barbosa,86,631.750.489-00,"VILA FARIAS
VILA SATÉLITE
80983484 GONÇALVES DE FOGAÇA / RN",ALAGOAS,1937-08-19
Ana Julia Almeida,22,179.386.425-09,"FAZENDA DE PORTO, 3
SENHOR DOS PASSOS
60244655 MENDES / MA",MATO GROSSO,2001-07-20
Milena Barros,73,314.602.985-51,"SETOR MIGUEL PIRES, 3
ERMELINDA
63141374 PIRES / PA",RIO GRANDE DO NORTE,1950-08-04
Murilo Gomes,99,759.083.641-93,"MORRO DE CASTRO
VILA PILAR
68132710 VIEIRA DO SUL / SP",CEARÁ,1924-05-22
Daniel Barbosa,28,812.035.469-98,"PRAÇA FERREIRA, 764
VILA SUMARÉ
04459429 TEIXEIRA DA SERRA / CE",DISTRITO FEDERAL,1995-10-05
Dr. Samuel Cardoso,47,039.124.687-96,"VEREDA CAUÊ NOVAES, 14
CONJUNTO CALIFÓRNIA II
17511624 CALDEIRA / BA",DISTRITO FEDERAL,1977-03-20
Ana Laura Sales,78,863.247.190-22,"FAZENDA DE PINTO, 42
SÃO JORGE 1ª SEÇÃO
94419954 CORREIA DE MENDES / PR",RONDÔNIA,1945-11-24
Mariana Cunha,81,492.537.016-25,"LOTEAMENTO LUIZ FELIPE TEIXEIRA, 87
NOVO OURO PRETO
09824175 ARAÚJO / AM",RORAIMA,1942-07-24
Sr. João Guilherme Cavalcanti,38,347.156.029-70,"QUADRA EMANUELLA DA CONCEIÇÃO, 29
CRUZEIRO
48756-294 FOGAÇA DE CORREIA / MS",RIO GRANDE DO NORTE,1985-09-30
Kamilly Rocha,63,365.248.907-10,"RODOVIA DANILO COSTA, 17
ALTA TENSÃO 2ª SEÇÃO
93173-991 ALMEIDA DO OESTE / MS",PIAUÍ,1960-10-29
Gabriel Nunes,55,940.813.762-04,"VILA STEPHANY LIMA
VISTA DO SOL
43271006 COSTA / PA",AMAZONAS,1968-11-21
Rafael Correia,72,579.042.183-05,"MORRO DE CARDOSO, 47
MARÇOLA
82157940 MELO / SE",PIAUÍ,1952-01-03
Ana Lívia Barbosa,62,925.164.380-60,"LAGOA SARAH AZEVEDO
MONSENHOR MESSIAS
68691-716 NUNES / CE",PARÁ,1961-05-30
Maitê Teixeira,90,694.815.037-39,"LOTEAMENTO OLIVEIRA, 29
CAMPONESA 1ª SEÇÃO
35499227 DA ROSA DO OESTE / PE",RIO GRANDE DO SUL,1933-05-11
Carlos Eduardo Santos,69,937.815.426-37,"LARGO NASCIMENTO, 97
DELTA
00090-218 BARBOSA / PR",RONDÔNIA,1955-03-29
Enzo Gabriel Araújo,70,349.682.017-96,Endereço inválido,RIO GRANDE DO SUL,1953-09-15
Breno Moreira,40,184.762.950-49,"AEROPORTO DE DAS NEVES, 7
VILA SUMARÉ
05152-623 CORREIA DAS FLORES / AL",PARANÁ,1984-03-23
Julia Lopes,47,106.893.247-31,"CONJUNTO DE CARDOSO, 5
VILA MINASLANDIA
42663-889 CASTRO / PR",RORAIMA,1977-02-13
André Lima,79,645.098.123-70,"VIADUTO CARDOSO
BELMONTE
18780-365 MONTEIRO DO CAMPO / RO",ALAGOAS,1944-11-06
João Gabriel Barbosa,55,190.657.428-67,"FAZENDA DE BARROS
BOA ESPERANÇA
74227859 DA COSTA / DF",AMAPÁ,1969-02-23
,21,438.765.902-56,"COLÔNIA MARIA VITÓRIA MOURA
AARÃO REIS
87984-967 ROCHA DE MINAS / GO",CEARÁ,2002-04-13
João Felipe Oliveira,42,830.679.415-00,"AVENIDA DE CARDOSO
MADRE GERTRUDES
39614351 PORTO DO AMPARO / RN",DISTRITO FEDERAL,1981-10-18
Samuel Vieira,39,218.305.764-53,"LAGOA LEANDRO CALDEIRA, 1
CHÁCARA LEONINA
51972-241 MENDES / MT",RORAIMA,1984-07-02
Lucca Ferreira,86,237.984.561-19,"ESPLANADA DE DAS NEVES, 5
ANDIROBA
55857-900 MORAES DO AMPARO / MG",PERNAMBUCO,1938-03-30
Samuel Castro,70,582.630.419-70,"PRAIA ELOAH DA MATA, 95
CACHOEIRINHA
76620-467 MELO / AL",AMAZONAS,1954-02-04
Maria Vitória Teixeira,61,426.753.091-25,"PRAIA CARVALHO, 7
VILA NOVA
08272068 COSTELA / PA",MATO GROSSO DO SUL,1962-12-16
Maria Fernanda Farias,22,907.143.856-20,"ÁREA DE CORREIA, 44
CHÁCARA LEONINA
16210070 NUNES DO SUL / AM",RIO GRANDE DO NORTE,2001-07-18
Fernanda Sales,71,879.354.102-32,"VALE LORENZO ALMEIDA, 80
VILA MANTIQUEIRA
39381-620 ALVES GRANDE / PE",RIO GRANDE DO SUL,1953-02-05
Srta. Eduarda Nogueira,66,602.751.493-07,"CHÁCARA ISADORA DAS NEVES
VILA DA AMIZADE
25121623 RIBEIRO / PB",RONDÔNIA,1958-01-13
Maitê Ferreira,65,016.542.973-99,"ESTAÇÃO CUNHA
CALAFATE
29389355 ROCHA DE GONÇALVES / PR",SANTA CATARINA,1958-04-24
Catarina Pires,47,079.186.425-11,"LOTEAMENTO DE LIMA, 1
VILA PRIMEIRO DE MAIO
16602-243 VIEIRA DA MATA / MT",MATO GROSSO DO SUL,1977-01-28
Manuela Da Rocha,74,839.561.470-57,"ALAMEDA DE GONÇALVES, 79
SAUDADE
47129-674 DIAS / SP",PARAÍBA,1949-05-21
Nina Moura,46,604.173.592-25,"QUADRA BERNARDO FERREIRA, 85
MARIETA 1ª SEÇÃO
48882-146 LIMA DE BARBOSA / PA",ACRE,1977-07-23
Pedro Henrique Vieira,42,526.839.107-03,"RODOVIA ALÍCIA DIAS, 58
VILA BOA VISTA
14088-768 CAMPOS DE PORTO / RR",PARANÁ,1981-08-14
Ana Clara Cunha,36,862.953.107-02,"RUA DE CAVALCANTI, 8
VILA DA PAZ
01240048 SOUZA DA SERRA / AC",ESPÍRITO SANTO,1987-04-09
Pietra Santos,94,508.672.194-67,"ESPLANADA DE SILVA, 1
VILA PUC
06033-930 ALVES DE LOPES / GO",SANTA CATARINA,1929-06-14
Sr. Theo Da Conceição,25,284.517.309-14,"VIADUTO DE FREITAS, 12
CENTRO
41526-260 DA CRUZ DOS DOURADOS / RR",SÃO PAULO,1998-10-04
Vinicius Da Costa,65,023.916.457-16,"RECANTO VALENTINA PINTO, 52
SATELITE
97787-119 MENDES DE BARBOSA / PA",SÃO PAULO,1958-06-03
Pedro Henrique Cunha,58,519.304.678-93,"PASSARELA DE SANTOS, 501
VILA ATILA DE PAIVA
81047029 OLIVEIRA / ES",PARÁ,1965-06-03
Davi Nogueira,74,564.829.170-11,"MORRO LUCCA DA ROCHA, 40
BANDEIRANTES
05301527 NASCIMENTO / CE",TOCANTINS,1949-12-14
Luiz Fernando Da Paz,80,409.816.257-11,"PRAÇA DE DA PAZ, 5
CONJUNTO JARDIM FILADÉLFIA
17691-504 CAVALCANTI / TO",MATO GROSSO,1943-04-30
Srta. Letícia Rocha,76,137.580.942-32,"FAZENDA JOÃO FELIPE SOUZA, 78
NOVA PAMPULHA
08184872 CUNHA / SC",SERGIPE,1947-12-01
João Nogueira,91,367.189.054-10,"RODOVIA CAUÊ MONTEIRO, 50
HELIOPOLIS
61521177 MARTINS PAULISTA / CE",RIO GRANDE DO NORTE,1933-02-22
João Gabriel Cardoso,53,962.405.713-34,"ÁREA DE FERREIRA, 20
VILA INDEPENDENCIA 2ª SEÇÃO
75695006 MELO / AC",MINAS GERAIS,1970-07-13
Ryan Ribeiro,95,409.157.683-48,"NÚCLEO ALMEIDA, 41
VILA SÃO PAULO
63386-457 NOVAES / PB",ALAGOAS,1928-12-18
Olivia Das Neves,23,314.927.586-55,"LAGOA DE VIEIRA, 25
PAQUETÁ
66090560 PEREIRA DO CAMPO / AL",RORAIMA,2001-01-27
Sr. Luiz Miguel Pinto,55,942.816.507-76,"CONJUNTO DA LUZ, 6
CHÁCARA LEONINA
95186702 SILVA / SC",SÃO PAULO,1968-04-17
Elisa Teixeira,79,217.439.856-73,"LADEIRA DE RODRIGUES, 58
VILA SÃO FRANCISCO
18153-240 DA MATA / ES",RONDÔNIA,1944-05-07
Pedro Miguel Das Neves,59,523.976.081-03,"JARDIM DE NASCIMENTO, 7
ENGENHO NOGUEIRA
72911-524 MOREIRA DO GALHO / RS",RIO DE JANEIRO,1964-12-15
Maria Luiza Azevedo,76,064.253.879-47,"QUADRA DE DA CRUZ, 42
VILA JARDIM MONTANHES
11782275 MENDES / PE",SERGIPE,1947-04-29
Lorenzo Silva,47,642.397.018-13,"CONJUNTO DE DA CRUZ, 1
MARIANO DE ABREU
82687-160 AZEVEDO DE SILVA / RJ",AMAZONAS,1976-05-09
Bianca Souza,97,673.295.108-40,"COLÔNIA FRANCISCO CAMPOS, 7
VILA BETÂNIA
47223-561 DA COSTA DO GALHO / SC",BAHIA,1926-05-25
Vitor Azevedo,70,643.978.150-20,"LARGO DE BARBOSA
VILA NOVA GAMELEIRA 1ª SEÇÃO
37778-485 LIMA / AL",RORAIMA,1953-11-01
Enzo Gabriel Lima,57,187.604.952-94,"AEROPORTO REZENDE
SANTO ANTÔNIO
22751419 MELO DE PORTO / SP",SANTA CATARINA,1967-01-28
Eduarda Cunha,59,093.821.745-32,"CAMPO DE PINTO, 72
SANTANA DO CAFEZAL
22684962 PORTO / PI",SÃO PAULO,1964-09-17
Sra. Nicole Da Rocha,79,367.082.149-03,"SETOR DE FERREIRA, 742
VILA ANTENA
59176-949 SANTOS / RR",AMAZONAS,1944-10-10
Ana Clara Santos,35,430.629.781-04,"LADEIRA DE SALES, 15
VILA SÃO FRANCISCO
18447153 DAS NEVES / DF",PARAÍBA,1988-04-15
Enzo Gabriel Castro,96,694.253.078-65,"LADEIRA DE TEIXEIRA
SÃO GERALDO
49881-890 RODRIGUES / PB",PIAUÍ,1927-07-11
Nicole Ferreira,28,701.839.246-22,"AEROPORTO DUARTE, 9
FUNCIONÁRIOS
49849669 SILVA DO SUL / ES",AMAZONAS,1996-02-11
Erick Sales,37,498.357.160-48,"TRECHO DE MARTINS, 51
VILA SANTA MONICA 1ª SEÇÃO
87398-775 NOGUEIRA ALEGRE / PR",CEARÁ,1986-09-13
Anthony Barros,42,742.053.618-07,"VILA ALEXIA VIANA, 87
JARDIM ALVORADA
22732-445 MOREIRA / PA",RORAIMA,1981-10-24
Renan Da Rocha,53,986.204.357-10,"MORRO MELO, 463
GRAJAÚ
18981-145 DA CONCEIÇÃO / RO",TOCANTINS,1971-03-08
Marcela Santos,24,843.196.205-42,"RESIDENCIAL DE ARAGÃO, 65
PLANALTO
81955-681 BARBOSA DO SUL / RN",GOIÁS,1999-12-23
Carolina Melo,39,970.358.142-05,"VEREDA KAMILLY DA ROSA, 80
SÃO GERALDO
58360617 CASTRO / SC",AMAPÁ,1984-06-06
Lavínia Rezende,44,946.321.085-70,"MORRO DAVI LUIZ CORREIA, 38
VILA SÃO PAULO
55361364 FERREIRA DO GALHO / CE",RONDÔNIA,1979-08-19
Srta. Julia Porto,75,502.731.649-61,"DISTRITO ANA LAURA ARAGÃO, 90
JARDIM DO VALE
37050371 BARBOSA / MA",AMAZONAS,1948-07-21
Alana Cardoso,32,572.934.018-41,"FAVELA GONÇALVES, 32
CÔNEGO PINHEIRO 1ª SEÇÃO
62579-612 DA COSTA ALEGRE / PR",RIO GRANDE DO NORTE,1991-04-14
Davi Lucas Cardoso,28,805.769.423-83,"VIELA DA PAZ, 92
SERRA
95443238 CORREIA / MT",SÃO PAULO,1995-11-15
Raul Santos,19,315.809.267-03,"LOTEAMENTO EMANUELLY SALES, 135
LETICIA
56249-362 FERNANDES DE PEIXOTO / SP",ALAGOAS,2004-09-11
Igor Melo,46,261.730.548-17,"FAVELA OLIVEIRA, 67
VILA COPACABANA
91636157 REZENDE / PR",TOCANTINS,1978-02-03
Joaquim Da Costa,76,274.039.856-56,"CONDOMÍNIO CAMPOS, 38
DOM BOSCO
49718775 MELO DE MINAS / SP",AMAPÁ,1947-08-10
João Felipe Farias,28,936.457.180-01,"ESTAÇÃO MILENA SILVA, 549
BAIRRO DAS INDÚSTRIAS II
77860945 SILVA / PE",MATO GROSSO,1996-01-11
Manuela Almeida,75,647.251.980-30,"FEIRA ALICE RAMOS, 3
SÃO JOÃO BATISTA
84904729 CAMPOS PAULISTA / PE",ACRE,1949-01-27
Ryan Rocha,64,248.513.096-51,"PASSARELA NOGUEIRA, 8
CASTELO
08422194 PIRES DE BARROS / PI",Desconhecido,1959-10-25
Luna Da Conceição,96,935.416.278-91,"CAMPO CAMPOS, 82
SÃO PEDRO
10003961 DA MATA / MA",MATO GROSSO DO SUL,1928-02-19
Manuela Silva,18,591.372.846-73,"JARDIM BEATRIZ FARIAS, 11
ACABA MUNDO
79947-311 FARIAS / AL",BAHIA,2005-09-01
Maria Vitória Das Neves,96,761.450.932-34,"LAGOA CAVALCANTI
SAVASSI
46594-913 RIBEIRO DO NORTE / PE",MINAS GERAIS,1928-01-05
Marcela Cunha,45,904.312.587-32,"RUA SALES, 4
UNIVERSO
73420661 RODRIGUES DAS PEDRAS / SE",PERNAMBUCO,1978-06-17
Bryan Souza,66,593.410.876-00,"VIADUTO THALES COSTELA, 23
MALA E CUIA
14364-941 FARIAS / BA",MARANHÃO,1958-03-05
Kevin Cavalcanti,48,658.107.349-01,"DISTRITO MARIA MORAES, 9
VILA PARIS
34507-199 CARDOSO / PR",SERGIPE,1976-01-29
Sr. João Gabriel Martins,74,794.682.051-85,"ESPLANADA DE MOURA, 95
BOA VIAGEM
73036474 PEREIRA DO OESTE / MA",MATO GROSSO,1949-06-14
Gabriela Da Mata,67,746.021.835-90,"VIADUTO DE PEIXOTO, 16
INCONFIDÊNCIA
10719-934 DA CRUZ / CE",RORAIMA,1956-06-16
Srta. Júlia Fernandes,48,650.429.831-98,"CONDOMÍNIO LEANDRO DA MOTA, 20
JATOBÁ
87409412 CAVALCANTI DA MATA / TO",DISTRITO FEDERAL,1975-11-19
Bárbara Silveira,40,386.019.472-04,"TREVO CARVALHO
VILA PARAÍSO
27781889 VIEIRA DE CASTRO / RN",RIO DE JANEIRO,1983-12-25
Vinicius Jesus,89,549.723.618-91,"MORRO DE DUARTE
PINDORAMA
91232749 CUNHA / RS",MINAS GERAIS,1934-12-08
Srta. Alice Pires,41,536.287.940-56,"PRAIA ANA CAROLINA CORREIA, 11
SANTA SOFIA
12204735 ROCHA ALEGRE / RO",CEARÁ,1982-07-08
Lara Ferreira,72,698.517.304-75,"RODOVIA DE FOGAÇA, 96
LAJEDO
51730-878 CARDOSO DO GALHO / RS",DISTRITO FEDERAL,1951-10-23
Felipe Freitas,98,863.410.759-01,"RUA DUARTE, 85
VILA REAL 1ª SEÇÃO
03399083 COSTA DO SUL / AC",DISTRITO FEDERAL,1925-04-27
Maysa Pires,68,852.607.149-11,"SÍTIO MARIANA ALMEIDA, 86
CARLOS PRATES
09579-357 CAVALCANTI / PR",BAHIA,1955-10-08
Letícia Da Mata,47,308.742.169-31,"AEROPORTO DA PAZ, 54
VILA SÃO DIMAS
26750-505 COSTA / PR",RIO DE JANEIRO,1976-08-04
Luigi Cunha,92,623.457.109-34,"PRAIA NASCIMENTO, 541
SENHOR DOS PASSOS
52251-024 CAVALCANTI DO CAMPO / PA",Desconhecido,1932-01-24
Lucas Gabriel Gomes,20,120.476.398-40,"DISTRITO DE CARDOSO, 24
FLAMENGO
42222117 JESUS DA PRATA / PI",PERNAMBUCO,2004-02-23
Emanuelly Costela,46,152.490.783-97,"VALE DE VIEIRA, 67
SUZANA
02233962 ALVES / PA",RORAIMA,1977-10-21
Calebe Nascimento,85,631.974.802-87,"TRECHO BRENDA FERREIRA, 25
LAGOINHA
22650-581 DA LUZ / RJ",BAHIA,1939-02-25
Juan Pires,76,139.648.572-46,"AVENIDA DE SANTOS, 89
SÃO PEDRO
54483394 MORAES DA MATA / MS",GOIÁS,1948-03-12
